one,two,three,four,key
0.348672355,0.866635133,0.839602165,0.734692736,L
0.727611966,0.229550414,0.035383371,0.385595431,B
0.936567963,0.028942021,0.785329201,0.240969601,G
0.408565549,0.118536678,0.2142282,0.59696252,R
0.473175437,0.433197279,0.783506246,0.444646437,Q
0.341141294,0.079171469,0.736712916,0.856989226,D
0.897564591,0.19009966,0.992988352,0.217931905,H
0.972260881,0.204954895,0.727379163,0.485023261,J
0.43849381,0.260654099,0.410942592,0.264298914,F
0.999067431,0.750772182,0.229619321,0.972648423,L
0.016830408,0.12579939,0.937664275,0.002057054,B
0.754318696,0.684887799,0.405433742,0.895869949,G
0.586634035,0.835089348,0.429151573,0.201940984,R
0.970006038,0.224814684,0.859962961,0.195612347,Q
0.893833312,0.54666847,0.384675795,0.560632274,D
0.425626211,0.938619544,0.209743034,0.776745943,H
0.514203763,0.135365112,0.10836989,0.172933807,J
0.358096097,0.636972521,0.629426046,0.992645734,F
0.980369816,0.341514671,0.991955932,0.828252648,L
0.98553099,0.2723815,0.102104706,0.144864891,B
0.18850297,0.258531773,0.049201682,0.947189918,G
0.621163356,0.379055552,0.112245949,0.981976937,R
0.566737708,0.069964103,0.083177751,0.680386033,Q
0.264000045,0.161357923,0.410644359,0.653316975,D
0.457976287,0.897527101,0.116512885,0.861242635,H
0.151984762,0.976079979,0.112337387,0.832141407,J
0.572799682,0.201189199,0.721266272,0.58968534,F
0.692869958,0.503589714,0.013258598,0.575910315,L
0.302958117,0.269167774,0.497903954,0.925933378,B
0.133399305,0.077102263,0.074976974,0.32639613,G
0.287026197,0.662155799,0.871336898,0.050878794,R
0.042207165,0.415604406,0.152524416,0.946286921,Q
0.582855602,0.200959148,0.216252329,0.210195491,D
0.884384035,0.492055996,0.139340058,0.18537345,H
0.243389562,0.245080254,0.935375356,0.622700341,J
0.62130077,0.262909945,0.032028298,0.376442439,F
0.398079721,0.980206706,0.876969577,0.656317223,L
0.219570101,0.779454033,0.185078733,0.292662423,B
0.736819115,0.052968481,0.238457835,0.231947604,G
0.678259143,0.70720801,0.883744335,0.023700348,R
0.696761529,0.707489233,0.387804646,0.868154859,Q
0.36807339,0.83634014,0.809532843,0.035786457,D
0.74065235,0.695867734,0.749231432,0.470940324,H
0.772093871,0.177570154,0.464932464,0.791911809,J
0.679456725,0.376182455,0.888648812,0.971541692,F
0.200281446,0.101054326,0.310358907,0.398648075,L
0.476136898,0.033051974,0.944332933,0.378555761,B
0.396336264,0.325110369,0.653938484,0.312509744,G
0.177743912,0.528022144,0.83297297,0.953961679,R
0.494137825,0.333947263,0.266959675,0.568453182,Q
0.086108303,0.970752406,0.953865372,0.134826292,D
0.654732737,0.828602295,0.064700138,0.643113055,H
0.333701037,0.734626105,0.265042664,0.024600204,J
0.883226389,0.998514376,0.153200429,0.418583148,F
0.559794467,0.745192991,0.233167296,0.56143182,L
0.701809568,0.430208794,0.265947363,0.259829914,B
0.879729774,0.929627703,0.990335543,0.251364691,G
0.145035403,0.581415749,0.037274064,0.543974643,R
0.565405646,0.283900778,0.17753137,0.714863771,Q
0.156315029,0.81936885,0.918966108,0.574875423,D
0.623527708,0.769245459,0.172436512,0.648801269,H
0.570886044,0.019142469,0.161523411,0.649642459,J
0.89410631,0.856241384,0.111526483,0.189135903,F
0.09626214,0.492347232,0.067053125,0.955414376,L
0.132235439,0.035682012,0.490723615,0.815807617,B
0.512953951,0.527361855,0.698675368,0.890833596,G
0.577384035,0.619621942,0.757464704,0.992980712,R
0.492781422,0.70358674,0.452971743,0.501041434,Q
0.463295318,0.099656467,0.214405879,0.233729387,D
0.045305234,0.154373538,0.013918556,0.767672274,H
0.00813508,0.492319407,0.906070173,0.313497839,J
0.239654116,0.132527659,0.134026099,0.356803781,F
0.484300484,0.180309335,0.13831131,0.480869518,L
0.352544231,0.062750236,0.598626076,0.472124669,B
0.960474057,0.727501257,0.877226886,0.451208322,G
0.888700737,0.070796423,0.595245867,0.043620952,R
0.839111789,0.108512992,0.365102891,0.300796964,Q
0.764487793,0.558854559,0.449869168,0.181700885,D
0.845340117,0.806309903,0.748569051,0.915647274,H
0.986828463,0.244219614,0.410056586,0.875270087,J
0.931281792,0.517413103,0.692039765,0.388333361,F
0.863852458,0.999366628,0.37209462,0.395307584,L
0.408865279,0.966379529,0.56685661,0.910901557,B
0.878455581,0.919818517,0.917741535,0.733146387,G
0.615719519,0.308169619,0.932167024,0.349258427,R
0.931824992,0.236922247,0.181825114,0.480503658,Q
0.03528185,0.203064057,0.54854883,0.235356767,D
0.034552556,0.017154656,0.682634773,0.116302228,H
0.034867027,0.834319438,0.368991265,0.872591279,J
0.510817853,0.477948445,0.891673169,0.059479144,F
0.355137187,0.288830427,0.089818549,0.764738339,L
0.457764121,0.834868272,0.693211269,0.513455888,B
0.122937048,0.668403221,0.564956397,0.261121068,G
0.497859479,0.728691767,0.934149482,0.91146945,R
0.140172453,0.112825565,0.536708695,0.466142324,Q
0.444451974,0.154634169,0.515163946,0.165963881,D
0.933157747,0.284819872,0.702915661,0.338761375,H
0.115033623,0.885632407,0.504077496,0.915984365,J
0.095705407,0.801309529,0.344439779,0.725984287,F
0.640804608,0.940486872,0.433145186,0.093074352,L
